0,82.212969206707039913273195021623621592777354154717
1,82.212969206707039913273195021623621592777354154717
2,99.9999999999999999999999999999999999999999999999999999982826586157545158681788628301612763668432864934661
3,99.9999999999999999999999999999999999999999999967288603808232878033941372972731714089048556293528
4,99.9999999999999999999999999999999999999999999967288603808232859286553704582558806245930556966107
5,99.9999999999999999999999999999999999999999999966937211857307581399601167559766382074325398121682
6,99.9999999999999999999999999999999999999973292966416047888239641148317200999247683254128761
7,99.9999999999999999999999999999999999999973292966386938259597958040331532070860905546047
8,99.9999999999999999999999999999999999999969987201239076421430354272353705291547553167887914
9,99.9999999999999999999999999999999999999969987201234186445579388312404064508569463784957785
10,99.9999999999999999999999999999999999999969340713154082060287645096273294977737754071485869
11,99.9999999999999999999999999999999999999969340713152879673167440225776754591255950249058824
12,99.9999999999999999999999999999999999999969161133312589370660458910756092226886431223858908
