0,32.06199566817806464473845746019949651291679680229
1,32.06199566817806464473845746019949651291679680229
2,66.713746414166601258662005840762375152748352523712
3,66.713746414166601258662005840762375152748352518091
4,87.055441221487664644415708220264241304864297632512
5,87.055441221487664644415708220128264471206857226858
6,96.5546401338802444798183424118558858873618171363083
7,96.5546401338802444798183424112596062710614705837381
8,99.3882370270776530399755611176877590787343989015409
9,99.388237027077653039975561117687759078734398900995
10,99.92391044412736243934348029242685863049680825911221
11,99.92391044412736243934347799129449015172308522248896
12,99.992789954657459176448919862500186389469941904301947
